Scorecard,Team 1,Team 2,Ground,Winner,Host,Day,Month,Year,WinInn
ODI # 1,Australia,England,Melbourne,Australia,Australia,5,Jan,1971,2
ODI # 2,England,Australia,Manchester,England,England,24,Aug,1972,2
ODI # 3,England,Australia,Lord's,Australia,England,26,Aug,1972,2
ODI # 4,England,Australia,Birmingham,England,England,28,Aug,1972,2
ODI # 5,New Zealand,Pakistan,Christchurch,New Zealand,New Zealand,11,Feb,1973,1
ODI # 6,England,New Zealand,Swansea,England,England,18,Jul,1973,2
ODI # 8,England,West Indies,Leeds,England,England,5,Sep,1973,2
ODI # 9,England,West Indies,The Oval,West Indies,England,7,Sep,1973,2
ODI # 10,New Zealand,Australia,Dunedin,Australia,New Zealand,30,Mar,1974,2
ODI # 11,New Zealand,Australia,Christchurch,Australia,New Zealand,31,Mar,1974,1
ODI # 12,England,India,Leeds,England,England,13,Jul,1974,2
ODI # 13,England,India,The Oval,England,England,15-16,Jul,1974,2
ODI # 14,England,Pakistan,Nottingham,Pakistan,England,31,Aug,1974,2
ODI # 15,England,Pakistan,Birmingham,Pakistan,England,3,Sep,1974,2
ODI # 16,Australia,England,Melbourne,England,Australia,1,Jan,1975,2
ODI # 19,England,India,Lord's,England,England,7,Jun,1975,1
ODI # 20,East Africa,New Zealand,Birmingham,New Zealand,England,7,Jun,1975,1
ODI # 21,Australia,Pakistan,Leeds,Australia,England,7,Jun,1975,1
ODI # 22,Sri Lanka,West Indies,Manchester,West Indies,England,7,Jun,1975,2
ODI # 23,England,New Zealand,Nottingham,England,England,11,Jun,1975,1
ODI # 24,East Africa,India,Leeds,India,England,11,Jun,1975,2
ODI # 25,Australia,Sri Lanka,The Oval,Australia,England,11,Jun,1975,1
ODI # 26,Pakistan,West Indies,Birmingham,West Indies,England,11,Jun,1975,2
ODI # 27,England,East Africa,Birmingham,England,England,14,Jun,1975,1
ODI # 28,India,New Zealand,Manchester,New Zealand,England,14,Jun,1975,2
ODI # 29,Australia,West Indies,The Oval,West Indies,England,14,Jun,1975,2
ODI # 30,Pakistan,Sri Lanka,Nottingham,Pakistan,England,14,Jun,1975,1
ODI # 31,England,Australia,Leeds,Australia,England,18,Jun,1975,2
ODI # 32,New Zealand,West Indies,The Oval,West Indies,England,18,Jun,1975,2
ODI # 33,Australia,West Indies,Lord's,West Indies,England,21,Jun,1975,1
ODI # 34,Australia,West Indies,Adelaide,Australia,Australia,20,Dec,1975,2
ODI # 35,New Zealand,India,Christchurch,New Zealand,New Zealand,21,Feb,1976,2
ODI # 36,New Zealand,India,Auckland,New Zealand,New Zealand,22,Feb,1976,1
ODI # 37,England,West Indies,Scarborough,West Indies,England,26,Aug,1976,2
ODI # 38,England,West Indies,Lord's,West Indies,England,28-29,Aug,1976,1
ODI # 39,England,West Indies,Birmingham,West Indies,England,30-31,Aug,1976,1
ODI # 40,Pakistan,New Zealand,Sialkot,New Zealand,Pakistan,16,Oct,1976,1
ODI # 41,West Indies,Pakistan,Albion,West Indies,West Indies,16,Mar,1977,2
ODI # 42,England,Australia,Manchester,England,England,2,Jun,1977,2
ODI # 43,England,Australia,Birmingham,England,England,4,Jun,1977,1
ODI # 44,England,Australia,The Oval,Australia,England,6,Jun,1977,2
ODI # 45,Pakistan,England,Sahiwal,England,Pakistan,23,Dec,1977,2
ODI # 46,Pakistan,England,Sialkot,England,Pakistan,30,Dec,1977,2
ODI # 47,Pakistan,England,Lahore,Pakistan,Pakistan,13,Jan,1978,1
ODI # 48,West Indies,Australia,St John's,West Indies,West Indies,22,Feb,1978,1
ODI # 49,West Indies,Australia,Castries,Australia,West Indies,12,Apr,1978,2
ODI # 50,England,Pakistan,Manchester,England,England,24-25,May,1978,1
ODI # 51,England,Pakistan,The Oval,England,England,26,May,1978,1
ODI # 52,England,New Zealand,Scarborough,England,England,15,Jul,1978,1
ODI # 53,England,New Zealand,Manchester,England,England,17,Jul,1978,1
